 ,q_and_a,question,answer
10,"""What happens if you try to test a subsystem in Diagnostics for Windows without logging in as the administrator?### If you try to test a subsystem in Diagnostics for Windows without logging in as the administrator, you will be unable to test some subsystems. This will be indicated by an error message under the subsystem name in the Test window or by shaded check boxes that cannot be selected.","""What happens if you try to test a subsystem in Diagnostics for Windows without logging in as the administrator?","If you try to test a subsystem in Diagnostics for Windows without logging in as the administrator, you will be unable to test some subsystems. This will be indicated by an error message under the subsystem name in the Test window or by shaded check boxes that cannot be selected."
11,"""What should you do after running tests in Diagnostics for Windows?### After running tests in Diagnostics for Windows, it is recommended to save, print, or display the information generated by the utility. You should have the printed report available before placing a call to the Customer Support Center.","""What should you do after running tests in Diagnostics for Windows?","After running tests in Diagnostics for Windows, it is recommended to save, print, or display the information generated by the utility. You should have the printed report available before placing a call to the Customer Support Center."
12,"""""How do you install Diagnostics for Windows on Windows XP?### In Windows XP, you can install Diagnostics for Windows by following these steps: 
1. Select Start > Software Setup icon. 
2. Select Diagnostics for Windows > Next button, then follow the instructions on the screen.
3. If the Setup Software icon is not on the Desktop or in the Start menu, run the Setup program from the C:\CPQAPPS\DIAGS directory or select Start > Run and type the following in the command line: C:\CPQAPPS\DIAGS\SETUP.
4. Click Next to install Diagnostics for Windows.
5. After the program has finished installing, you may be prompted to restart the computer, or it may automatically restart. If prompted, click Finish to restart the computer or Cancel to exit the program. You must restart the computer to complete the installation of Diagnostics for Windows.","""""How do you install Diagnostics for Windows on Windows XP?","In Windows XP, you can install Diagnostics for Windows by following these steps: 
1. Select Start > Software Setup icon. 
2. Select Diagnostics for Windows > Next button, then follow the instructions on the screen.
3. If the Setup Software icon is not on the Desktop or in the Start menu, run the Setup program from the C:\CPQAPPS\DIAGS directory or select Start > Run and type the following in the command line: C:\CPQAPPS\DIAGS\SETUP.
4. Click Next to install Diagnostics for Windows.
5. After the program has finished installing, you may be prompted to restart the computer, or it may automatically restart. If prompted, click Finish to restart the computer or Cancel to exit the program. You must restart the computer to complete the installation of Diagnostics for Windows."
13,"""How do you upgrade an existing version of Diagnostics for Windows?### To upgrade an existing version of Diagnostics for Windows installed on the computer, visit www.hp.com/support to locate and download the latest Diagnostics for Windows SoftPaq.","""How do you upgrade an existing version of Diagnostics for Windows?","To upgrade an existing version of Diagnostics for Windows installed on the computer, visit www.hp.com/support to locate and download the latest Diagnostics for Windows SoftPaq."
14,"""How do you use categories in Diagnostics for Windows?### To use the categories in Diagnostics for Windows, follow these steps:
1. Click Start > HP Information Center > Diagnostics for Windows. You can also select the Diagnostics for Windows icon, located in the Control Panel, by clicking Start > Control Panel, then select Diagnostics for Windows.
2. For specific hardware and software information, select a category from the Categories pull-down menu or the appropriate icon on the toolbar.
3. To display more detailed information in a selected category, click More in the Information Level box in the lower left corner of the window or click Level at the top of the screen and select More.
4. Review, print, and/or save this information as needed.","""How do you use categories in Diagnostics for Windows?","To use the categories in Diagnostics for Windows, follow these steps:
1. Click Start > HP Information Center > Diagnostics for Windows. You can also select the Diagnostics for Windows icon, located in the Control Panel, by clicking Start > Control Panel, then select Diagnostics for Windows.
2. For specific hardware and software information, select a category from the Categories pull-down menu or the appropriate icon on the toolbar.
3. To display more detailed information in a selected category, click More in the Information Level box in the lower left corner of the window or click Level at the top of the screen and select More.
4. Review, print, and/or save this information as needed."
15,"""How do you print information from Diagnostics for Windows?### To print the information from Diagnostics for Windows, click File, then select Print. Select one of the following options: Detailed Report (All Categories), Summary Report (All Categories), or Current Category. Click OK to print the report you selected.","""How do you print information from Diagnostics for Windows?","To print the information from Diagnostics for Windows, click File, then select Print. Select one of the following options: Detailed Report (All Categories), Summary Report (All Categories), or Current Category. Click OK to print the report you selected."
16,"""How do you save information from Diagnostics for Windows?### To save the information from Diagnostics for Windows, click File, then select Save As. Select one of the following options: Detailed Report (All Categories), Summary Report (All Categories), or Current Category. Click OK to save the report you selected.","""How do you save information from Diagnostics for Windows?","To save the information from Diagnostics for Windows, click File, then select Save As. Select one of the following options: Detailed Report (All Categories), Summary Report (All Categories), or Current Category. Click OK to save the report you selected."
17,"""How do you exit Diagnostics for Windows?### To exit Diagnostics for Windows, click File, and then click Exit.","""How do you exit Diagnostics for Windows?","To exit Diagnostics for Windows, click File, and then click Exit."
18,"""What is the Menu Bar in Diagnostics for Windows?### The Menu Bar in Diagnostics for Windows is located at the top of the screen and consists of six pull-down menus: File, Categories, Navigation, Level, Tab, and Help.","""What is the Menu Bar in Diagnostics for Windows?","The Menu Bar in Diagnostics for Windows is located at the top of the screen and consists of six pull-down menus: File, Categories, Navigation, Level, Tab, and Help."
19,"""What options are available in the File menu in Diagnostics for Windows?### The File menu in Diagnostics for Windows includes the following options: Save As, Print, Printer Setup, and Exit.","""What options are available in the File menu in Diagnostics for Windows?","The File menu in Diagnostics for Windows includes the following options: Save As, Print, Printer Setup, and Exit."
20,"""What options are available in the Categories menu in Diagnostics for Windows?### The Categories menu in Diagnostics for Windows allows you to see a list of categories.","""What options are available in the Categories menu in Diagnostics for Windows?",The Categories menu in Diagnostics for Windows allows you to see a list of categories.
21,"""What options are available in the Navigation menu in Diagnostics for Windows?### The Navigation menu in Diagnostics for Windows includes the following options: Previous Category (F5), Next Category (F6).","""What options are available in the Navigation menu in Diagnostics for Windows?","The Navigation menu in Diagnostics for Windows includes the following options: Previous Category (F5), Next Category (F6)."
22,"""What options are available in the Level menu in Diagnostics for Windows?### The Level menu in Diagnostics for Windows includes the following options: Less (F7), More (F8).","""What options are available in the Level menu in Diagnostics for Windows?","The Level menu in Diagnostics for Windows includes the following options: Less (F7), More (F8)."
23,"""What options are available in the Tab menu in Diagnostics for Windows?### The Tab menu in Diagnostics for Windows includes the following options: Overview, Test, Status, Log, and Error.","""What options are available in the Tab menu in Diagnostics for Windows?","The Tab menu in Diagnostics for Windows includes the following options: Overview, Test, Status, Log, and Error."
24,"""What options are available in the Help menu in Diagnostics for Windows?### The Help menu in Diagnostics for Windows includes the following options: Contents, How to use Help, and About.","""What options are available in the Help menu in Diagnostics for Windows?","The Help menu in Diagnostics for Windows includes the following options: Contents, How to use Help, and About."
25,"""Can you describe the different tabs in the computer diagnostic features?### The computer diagnostic features include several tabs: Overview, Test, Status, Log, and Error. The Overview tab displays general information about the computer's hardware and software. The Test tab allows you to choose various parts of the system to test, as well as the type of test and testing mode. The Status tab shows the status of each test in progress, and testing can be cancelled from this window. The Log tab displays a log of tests for each device. The Error tab shows any errors that occurred during device testing, listing the device being tested, the type and number of errors, and the error code.","""Can you describe the different tabs in the computer diagnostic features?","The computer diagnostic features include several tabs: Overview, Test, Status, Log, and Error. The Overview tab displays general information about the computer's hardware and software. The Test tab allows you to choose various parts of the system to test, as well as the type of test and testing mode. The Status tab shows the status of each test in progress, and testing can be cancelled from this window. The Log tab displays a log of tests for each device. The Error tab shows any errors that occurred during device testing, listing the device being tested, the type and number of errors, and the error code."
26,"What does the Tool Bar in the computer diagnostic features represent?### The Tool Bar in the computer diagnostic features contains a row of icons for different categories of information about the computer. These categories include System, Asset Control, Input Devices, Communication, Storage, Graphics, Memory, Multimedia, Windows, Architecture, Resources, Health, and Miscellaneous. Each category provides specific information related to its title. For example, the System category provides information about the system board, ROM, date, and time.",What does the Tool Bar in the computer diagnostic features represent?,"The Tool Bar in the computer diagnostic features contains a row of icons for different categories of information about the computer. These categories include System, Asset Control, Input Devices, Communication, Storage, Graphics, Memory, Multimedia, Windows, Architecture, Resources, Health, and Miscellaneous. Each category provides specific information related to its title. For example, the System category provides information about the system board, ROM, date, and time."
27,"How can I run diagnostic tests in Diagnostics for Windows?### To run diagnostic tests in Diagnostics for Windows, you need to follow these steps: 1. Click Start > HP Information Center > Diagnostics for Windows. Alternatively, you can select the Diagnostics for Windows icon, located in the Control Panel. 2. Click the Test tab, or click Tab at the top of the screen and select Test. 3. Select one of the following options: Quick Test, Complete Test, or Custom Test. The Quick Test runs a general test on each device, the Complete Test runs maximum testing of each device, and the Custom Test runs only the tests you select.",How can I run diagnostic tests in Diagnostics for Windows?,"To run diagnostic tests in Diagnostics for Windows, you need to follow these steps: 1. Click Start > HP Information Center > Diagnostics for Windows. Alternatively, you can select the Diagnostics for Windows icon, located in the Control Panel. 2. Click the Test tab, or click Tab at the top of the screen and select Test. 3. Select one of the following options: Quick Test, Complete Test, or Custom Test. The Quick Test runs a general test on each device, the Complete Test runs maximum testing of each device, and the Custom Test runs only the tests you select."
28,"What is the function of the 'Overview' tab in the computer diagnostic features?### The 'Overview' tab in the computer diagnostic features displays general overview information about the computer. This is the window that is displayed when you first start the utility. The left side of the window shows hardware information, and the right side of the window shows software information.",What is the function of the 'Overview' tab in the computer diagnostic features?,"The 'Overview' tab in the computer diagnostic features displays general overview information about the computer. This is the window that is displayed when you first start the utility. The left side of the window shows hardware information, and the right side of the window shows software information."
29,"What is the purpose of the 'Test' tab in the computer diagnostic features?### The 'Test' tab in the computer diagnostic features allows you to choose various parts of the system to test. You can also choose the type of test and testing mode. This includes options like Quick Test, Complete Test, or Custom Test.",What is the purpose of the 'Test' tab in the computer diagnostic features?,"The 'Test' tab in the computer diagnostic features allows you to choose various parts of the system to test. You can also choose the type of test and testing mode. This includes options like Quick Test, Complete Test, or Custom Test."
30,What does the 'Status' tab show in the computer diagnostic features?### The 'Status' tab in the computer diagnostic features displays the status of each test in progress. You can cancel testing from this window.,What does the 'Status' tab show in the computer diagnostic features?,The 'Status' tab in the computer diagnostic features displays the status of each test in progress. You can cancel testing from this window.
31,What is the function of the 'Log' tab in the computer diagnostic features?### The 'Log' tab in the computer diagnostic features displays a log of tests for each device. This allows you to track the testing history for each device.,What is the function of the 'Log' tab in the computer diagnostic features?,The 'Log' tab in the computer diagnostic features displays a log of tests for each device. This allows you to track the testing history for each device.
32,"What does the 'Error' tab display in the computer diagnostic features?### The 'Error' tab in the computer diagnostic features displays any errors that occurred during device testing. The window lists the device being tested, the type and number of errors, and the error code. This helps in identifying and troubleshooting any issues with the devices.",What does the 'Error' tab display in the computer diagnostic features?,"The 'Error' tab in the computer diagnostic features displays any errors that occurred during device testing. The window lists the device being tested, the type and number of errors, and the error code. This helps in identifying and troubleshooting any issues with the devices."
33,"What is the 'Quick Test' option in the 'Test' tab of the computer diagnostic features?### The 'Quick Test' option in the 'Test' tab of the computer diagnostic features runs a quick, general test on each device. It requires no user intervention if Unattended Mode is selected.",What is the 'Quick Test' option in the 'Test' tab of the computer diagnostic features?,"The 'Quick Test' option in the 'Test' tab of the computer diagnostic features runs a quick, general test on each device. It requires no user intervention if Unattended Mode is selected."
34,What is the 'Complete Test' option in the 'Test' tab of the computer diagnostic features?### The 'Complete Test' option in the 'Test' tab of the computer diagnostic features runs maximum testing of each device. The user can select Interactive Mode or Unattended Mode for this test.,What is the 'Complete Test' option in the 'Test' tab of the computer diagnostic features?,The 'Complete Test' option in the 'Test' tab of the computer diagnostic features runs maximum testing of each device. The user can select Interactive Mode or Unattended Mode for this test.
35,What is the 'Custom Test' option in the 'Test' tab of the computer diagnostic features?### The 'Custom Test' option in the 'Test' tab of the computer diagnostic features runs only the tests you select. This allows you to focus on specific devices or tests as per your requirements.,What is the 'Custom Test' option in the 'Test' tab of the computer diagnostic features?,The 'Custom Test' option in the 'Test' tab of the computer diagnostic features runs only the tests you select. This allows you to focus on specific devices or tests as per your requirements.
36,"What information does the 'System' category provide in the Tool Bar of the computer diagnostic features?### The 'System' category in the Tool Bar of the computer diagnostic features provides information about the system board, ROM, date, and time of the computer. This helps in understanding the basic system configuration and status.",What information does the 'System' category provide in the Tool Bar of the computer diagnostic features?,"The 'System' category in the Tool Bar of the computer diagnostic features provides information about the system board, ROM, date, and time of the computer. This helps in understanding the basic system configuration and status."
37,"What is the Custom Test in the diagnostic process?### The Custom Test allows you to select specific devices or tests to run. You find the device in the list and select the check box beside each test. When selected, a red check mark is displayed in the box. Some tests selected may require user intervention.",What is the Custom Test in the diagnostic process?,"The Custom Test allows you to select specific devices or tests to run. You find the device in the list and select the check box beside each test. When selected, a red check mark is displayed in the box. Some tests selected may require user intervention."
38,"What is the requirement to test all subsystems?### To test all subsystems, you must log in as the administrator. If you do not log in as the administrator, you will be unable to test some subsystems. The inability to test a subsystem will be indicated by an error message under the subsystem name in the Test window or by shaded boxes that cannot be checked.",What is the requirement to test all subsystems?,"To test all subsystems, you must log in as the administrator. If you do not log in as the administrator, you will be unable to test some subsystems. The inability to test a subsystem will be indicated by an error message under the subsystem name in the Test window or by shaded boxes that cannot be checked."
39,"What is the difference between Interactive Mode and Unattended Mode?### In Interactive Mode, the diagnostic software will prompt you for input during tests that require it. Interactive Mode provides maximum control over the testing process. In Unattended Mode, the software does not display prompts. If errors are found, they are displayed when testing is complete.",What is the difference between Interactive Mode and Unattended Mode?,"In Interactive Mode, the diagnostic software will prompt you for input during tests that require it. Interactive Mode provides maximum control over the testing process. In Unattended Mode, the software does not display prompts. If errors are found, they are displayed when testing is complete."
40,"How can you view the progress and result of each test?### You can view the progress and result of each test by looking at the Test Status that is displayed after you click the Begin Testing button. For more details on the tests run, you can click the Log tab or click Tab at the top of the screen and select Log.",How can you view the progress and result of each test?,"You can view the progress and result of each test by looking at the Test Status that is displayed after you click the Begin Testing button. For more details on the tests run, you can click the Log tab or click Tab at the top of the screen and select Log."
41,"How can you view a test report?### To view a test report, you can select a tab. The Status tab summarizes the tests run, passed, and failed during the current testing session. The Log tab lists tests run on the system, the numbers of times each test has run, the number of errors found on each test, and the total run time of each test. The Error tab lists all errors found on the computer with their error codes.",How can you view a test report?,"To view a test report, you can select a tab. The Status tab summarizes the tests run, passed, and failed during the current testing session. The Log tab lists tests run on the system, the numbers of times each test has run, the number of errors found on each test, and the total run time of each test. The Error tab lists all errors found on the computer with their error codes."
42,"How can you save a test report?### To save a test report, you can select the Log tab Save button to save a Log tab report or select the Error tab Save button to save an Error tab report.",How can you save a test report?,"To save a test report, you can select the Log tab Save button to save a Log tab report or select the Error tab Save button to save an Error tab report."
43,"How can you print a test report?### To print a test report, if the report is on the Log tab, you can select File > Save As, then print the file from the selected folder. If the report is on the Error tab, you can select the Error tab Print button.",How can you print a test report?,"To print a test report, if the report is on the Log tab, you can select File > Save As, then print the file from the selected folder. If the report is on the Error tab, you can select the Error tab Print button."
44,"What should you do if errors are found during the test?### If errors are found during the test, you can click the Error tab to display more detailed information and recommended actions. By following the recommended actions, you may be able to solve some problems yourself.",What should you do if errors are found during the test?,"If errors are found during the test, you can click the Error tab to display more detailed information and recommended actions. By following the recommended actions, you may be able to solve some problems yourself."
45,"What should you do with the error information?### You should print or save the error information in case you need to contact an authorized dealer, reseller, or service provider for assistance.",What should you do with the error information?,"You should print or save the error information in case you need to contact an authorized dealer, reseller, or service provider for assistance."
46,"How can you exit Diagnostics for Windows?### To exit Diagnostics for Windows, you can click File, then click Exit.",How can you exit Diagnostics for Windows?,"To exit Diagnostics for Windows, you can click File, then click Exit."
47,What is the Configuration Record utility?### The Configuration Record utility is a windows-based information-gathering tool similar to other management tools. It gathers critical hardware and software information from various computer subsystems to give a complete view of the computer.,What is the Configuration Record utility?,The Configuration Record utility is a windows-based information-gathering tool similar to other management tools. It gathers critical hardware and software information from various computer subsystems to give a complete view of the computer.
48,What is the purpose of the Configuration Record?### The Configuration Record provides a means for automatically identifying critical hardware and software information from various computer subsystems. This gives a complete view of the computer.,What is the purpose of the Configuration Record?,The Configuration Record provides a means for automatically identifying critical hardware and software information from various computer subsystems. This gives a complete view of the computer.
49,What is the Configuration Record?### The Configuration Record is a utility that gathers critical hardware and software information from various computer subsystems to provide a complete view of the computer. It automatically identifies and compares configuration changes and maintains a configuration history. This utility is useful in troubleshooting system problems and streamlines the service process by enabling quick and easy identification of system configurations.,What is the Configuration Record?,The Configuration Record is a utility that gathers critical hardware and software information from various computer subsystems to provide a complete view of the computer. It automatically identifies and compares configuration changes and maintains a configuration history. This utility is useful in troubleshooting system problems and streamlines the service process by enabling quick and easy identification of system configurations.
50,"How does the Configuration Record assist in problem resolution?### The Configuration Record assists in problem resolution by providing a comprehensive view of the system's hardware and software. It gathers information on items such as the ROM, asset tag, processor, physical drives, PCI devices, memory, graphics, operating system version number, operating system parameters, and the operating system startup files. This information is useful in troubleshooting system problems and streamlines the service process.",How does the Configuration Record assist in problem resolution?,"The Configuration Record assists in problem resolution by providing a comprehensive view of the system's hardware and software. It gathers information on items such as the ROM, asset tag, processor, physical drives, PCI devices, memory, graphics, operating system version number, operating system parameters, and the operating system startup files. This information is useful in troubleshooting system problems and streamlines the service process."
51,"What is the purpose of the Base.log file in the Configuration Record?### The Base.log file in the Configuration Record is displayed next to the Now.log file in a split window, with the differences between the two highlighted in red. This allows for easy identification and comparison of configuration changes.",What is the purpose of the Base.log file in the Configuration Record?,"The Base.log file in the Configuration Record is displayed next to the Now.log file in a split window, with the differences between the two highlighted in red. This allows for easy identification and comparison of configuration changes."
52,"How is the Configuration Record installed?### The Configuration Record is part of Diagnostics for Windows. Whenever you install Diagnostics for Windows, the Configuration Record is also installed.",How is the Configuration Record installed?,"The Configuration Record is part of Diagnostics for Windows. Whenever you install Diagnostics for Windows, the Configuration Record is also installed."
53,"How can you run the Configuration Record?### To run the Configuration Record, you can click Start > HP Information Center > Configuration Record. Alternatively, you can select the Configuration Record icon, located in the Control Panel, by clicking Start > Control Panel, then select Configuration Record.",How can you run the Configuration Record?,"To run the Configuration Record, you can click Start > HP Information Center > Configuration Record. Alternatively, you can select the Configuration Record icon, located in the Control Panel, by clicking Start > Control Panel, then select Configuration Record."
54,"What are the two view options of the Configuration Record utility?### The Configuration Record utility has two view options: ""Show Changed Items Only"" and ""Show All"". The default view is ""Show Changed Items Only"", which displays only the differences. Switching to ""Show All"" displays the complete, comprehensive view of the system.",What are the two view options of the Configuration Record utility?,"The Configuration Record utility has two view options: ""Show Changed Items Only"" and ""Show All"". The default view is ""Show Changed Items Only"", which displays only the differences. Switching to ""Show All"" displays the complete, comprehensive view of the system."
55,"How can you save the information gathered by the Configuration Record?### To save the information gathered by the Configuration Record, select File > Save Window File and then select Left Window File or Right Window File. This allows the user to keep a history of the configuration, which may be useful for troubleshooting purposes.",How can you save the information gathered by the Configuration Record?,"To save the information gathered by the Configuration Record, select File > Save Window File and then select Left Window File or Right Window File. This allows the user to keep a history of the configuration, which may be useful for troubleshooting purposes."
56,Why is it beneficial to save the configuration of the computer periodically?### Saving the configuration of the computer periodically allows the user to keep a history of the configuration. This history may be useful to your service provider if the system ever encounters a problem that needs debugging.,Why is it beneficial to save the configuration of the computer periodically?,Saving the configuration of the computer periodically allows the user to keep a history of the configuration. This history may be useful to your service provider if the system ever encounters a problem that needs debugging.
57,"How can you exit the Configuration Record?### To exit the Configuration Record, click File, then click Exit.",How can you exit the Configuration Record?,"To exit the Configuration Record, click File, then click Exit."
58,What does the Configuration Record do with the information it gathers?### The Configuration Record uses the information it gathers to deliver a comprehensive view of the system. This information is useful in troubleshooting system problems and streamlines the service process by enabling quick and easy identification of system configurations.,What does the Configuration Record do with the information it gathers?,The Configuration Record uses the information it gathers to deliver a comprehensive view of the system. This information is useful in troubleshooting system problems and streamlines the service process by enabling quick and easy identification of system configurations.
59,"What is the default view of the Configuration Record?### The default view of the Configuration Record is ""Show Changed Items Only"". This view displays only the differences between the current and previous configurations.",What is the default view of the Configuration Record?,"The default view of the Configuration Record is ""Show Changed Items Only"". This view displays only the differences between the current and previous configurations."
60,"What happens when you switch to the ""Show All"" view in the Configuration Record?### When you switch to the ""Show All"" view in the Configuration Record, it displays the complete, comprehensive view of the system, including all hardware and software information.","What happens when you switch to the ""Show All"" view in the Configuration Record?","When you switch to the ""Show All"" view in the Configuration Record, it displays the complete, comprehensive view of the system, including all hardware and software information."
61,"""What steps should be taken to protect the software on a computer?### To protect software from loss or damage, a backup copy of all system software, applications, and related files stored on the hard drive should be kept. This can be done by following the instructions provided in the operating system or backup utility documentation.","""What steps should be taken to protect the software on a computer?","To protect software from loss or damage, a backup copy of all system software, applications, and related files stored on the hard drive should be kept. This can be done by following the instructions provided in the operating system or backup utility documentation."
62,"""How can the Windows operating system and software be restored to their original state?### The Windows operating system and software can be restored to the original state they were in when the computer was purchased by using the Restore Plus! CD. Instructions on how to use this feature can be found in the documentation included with the Restore Plus! CD.","""How can the Windows operating system and software be restored to their original state?",The Windows operating system and software can be restored to the original state they were in when the computer was purchased by using the Restore Plus! CD. Instructions on how to use this feature can be found in the documentation included with the Restore Plus! CD.
63,"""What is the purpose of the Troubleshooting Without Diagnostics chapter?### The Troubleshooting Without Diagnostics chapter provides information on how to identify and correct minor problems, such as issues with the diskette drive, hard drive, optical drive, graphics, audio, memory, and software. If problems are encountered with the computer, this chapter can be referred to for probable causes and recommended solutions.","""What is the purpose of the Troubleshooting Without Diagnostics chapter?","The Troubleshooting Without Diagnostics chapter provides information on how to identify and correct minor problems, such as issues with the diskette drive, hard drive, optical drive, graphics, audio, memory, and software. If problems are encountered with the computer, this chapter can be referred to for probable causes and recommended solutions."
64,"""What should be done before calling for technical support if problems are encountered with a computer?### Before calling for technical support, several steps should be taken to try to isolate the exact problem. These include running the Diagnostics for Windows utility, running the Drive Protection System (DPS) Self-Test in Computer Setup, checking the Power LED on the front of the computer for flashing red lights, checking if the screen is blank and if so, plugging the monitor into a different video port on the computer or changing out the monitor with one that is known to be functioning properly.","""What should be done before calling for technical support if problems are encountered with a computer?","Before calling for technical support, several steps should be taken to try to isolate the exact problem. These include running the Diagnostics for Windows utility, running the Drive Protection System (DPS) Self-Test in Computer Setup, checking the Power LED on the front of the computer for flashing red lights, checking if the screen is blank and if so, plugging the monitor into a different video port on the computer or changing out the monitor with one that is known to be functioning properly."
65,"""What is the importance of a safe and comfortable work environment when using a computer?### A safe and comfortable work environment is important when using a computer to prevent discomfort or serious injury. Misuse of the computer or failure to establish a safe and comfortable work environment may result in these issues. Information on choosing a workspace and creating a safe and comfortable work environment can be found in the Safety & Comfort Guide.","""What is the importance of a safe and comfortable work environment when using a computer?",A safe and comfortable work environment is important when using a computer to prevent discomfort or serious injury. Misuse of the computer or failure to establish a safe and comfortable work environment may result in these issues. Information on choosing a workspace and creating a safe and comfortable work environment can be found in the Safety & Comfort Guide.
66,"""What does it mean if the Power LED on the front of the computer is flashing red?### If the Power LED on the front of the computer is flashing red, it indicates that there is an error. The flashing lights are error codes that can help diagnose the problem. More information can be found in Appendix A, “POST Error Messages”.","""What does it mean if the Power LED on the front of the computer is flashing red?","If the Power LED on the front of the computer is flashing red, it indicates that there is an error. The flashing lights are error codes that can help diagnose the problem. More information can be found in Appendix A, “POST Error Messages”."
67,"""What should be done if the computer screen is blank?### If the computer screen is blank, the monitor should be plugged into a different video port on the computer if one is available. Alternatively, the monitor can be changed out with a monitor that is known to be functioning properly.","""What should be done if the computer screen is blank?","If the computer screen is blank, the monitor should be plugged into a different video port on the computer if one is available. Alternatively, the monitor can be changed out with a monitor that is known to be functioning properly."
68,"""What is the Drive Protection System (DPS) Self-Test?### The Drive Protection System (DPS) Self-Test is a diagnostic tool that can be run in Computer Setup to help identify problems with the computer. More information can be found in the Computer Setup (F10) Utility Guide.","""What is the Drive Protection System (DPS) Self-Test?",The Drive Protection System (DPS) Self-Test is a diagnostic tool that can be run in Computer Setup to help identify problems with the computer. More information can be found in the Computer Setup (F10) Utility Guide.
